Series ID,Year,Period,Label,Value
CUUSS35CSEFJ,2017,S02,2017 Half2,221.950
CUUSS35CSEFJ,2018,S01,2018 Half1,222.042
CUUSS35CSEFJ,2018,S02,2018 Half2,224.261
CUUSS35CSEFJ,2019,S01,2019 Half1,227.396
CUUSS35CSEFJ,2019,S02,2019 Half2,233.325
CUUSS35CSEFJ,2020,S01,2020 Half1,240.753
CUUSS35CSEFJ,2020,S02,2020 Half2,242.856
CUUSS35CSEFJ,2021,S01,2021 Half1,240.496
CUUSS35CSEFJ,2021,S02,2021 Half2,233.564
CUUSS35CSEFJ,2022,S01,2022 Half1,252.762
CUUSS35CSEFJ,2022,S02,2022 Half2,274.571
