+--------------+------+--------+---------+-----------+
|  series id   | year | period |  value  | footnotes |
| CUSR0000SEFW | 2014 |  M07   | 196.409 |           |
| CUSR0000SEFW | 2014 |  M06   | 196.453 |           |
| CUSR0000SEFW | 2014 |  M05   | 196.565 |           |
| CUSR0000SEFW | 2014 |  M04   | 196.174 |           |
| CUSR0000SEFW | 2014 |  M03   | 196.228 |           |
| CUSR0000SEFW | 2014 |  M02   | 195.983 |           |
| CUSR0000SEFW | 2014 |  M01   | 196.606 |           |
| CUSR0000SEFW | 2013 |  M12   | 196.552 |           |
| CUSR0000SEFW | 2013 |  M11   | 195.957 |           |
| CUSR0000SEFW | 2013 |  M10   | 195.873 |           |
| CUSR0000SEFW | 2013 |  M09   | 196.145 |           |
| CUSR0000SEFW | 2013 |  M08   | 196.525 |           |
| CUSR0000SEFW | 2013 |  M07   | 196.330 |           |
| CUSR0000SEFW | 2013 |  M06   | 195.946 |           |
| CUSR0000SEFW | 2013 |  M05   | 195.582 |           |
| CUSR0000SEFW | 2013 |  M04   | 195.572 |           |
| CUSR0000SEFW | 2013 |  M03   | 195.144 |           |
| CUSR0000SEFW | 2013 |  M02   | 194.702 |           |
| CUSR0000SEFW | 2013 |  M01   | 193.881 |           |
+--------------+------+--------+---------+-----------+
