Date,DairyCPI,AlcoholCPI,MeatsCPI,DairyPPI,AlcoholPPI,MeatsPPI
2014-05-01,225.491,196.565,252.993,227.1,,203.7
2014-04-01,224.171,196.174,249.672,229.7,,207.2
2014-03-01,223.063,196.228,245.844,226.2,,195.3
2014-02-01,220.861,195.983,243.814,222.6,,188.9
2014-01-01,219.362,196.606,241.605,213.8,,189.8
2013-12-01,218.376,196.552,240.484,205.5,,187.4
2013-11-01,217.463,195.957,239.401,200.6,,187.4
2013-10-01,216.596,195.873,240.09,197.5,,185.6
2013-09-01,217.007,196.145,238.336,195.7,,184.4
2013-08-01,216.791,196.525,237.544,197.5,,184.1
2013-07-01,215.92,196.33,236.12,198.5,,183.8
2013-06-01,216.062,195.946,235.437,201.1,,183.0
2013-05-01,216.327,195.582,234.424,202.3,,181.6
2013-04-01,218.141,195.572,234.696,199.3,,180.1
2013-03-01,218.123,195.144,234.365,198.9,,183.2
2013-02-01,219.526,194.702,234.627,199.0,,184.0
2013-01-01,220.319,193.881,234.479,200.5,,184.3
